Ma,Commune,MaQH,District,MaTP,Province,MaQG,Việt Nam
1,Phúc Xá,1,Ba Đình,1,Hà Nội,VN84,Việt Nam
4,Trúc Bạch,1,Ba Đình,1,Hà Nội,VN84,Việt Nam
6,Vĩnh Phúc,1,Ba Đình,1,Hà Nội,VN84,Việt Nam
7,Cống Vị,1,Ba Đình,1,Hà Nội,VN84,Việt Nam
8,Liễu Giai,1,Ba Đình,1,Hà Nội,VN84,Việt Nam
10,Nguyễn Trung Trực,1,Ba Đình,1,Hà Nội,VN84,Việt Nam
13,Quán Thánh,1,Ba Đình,1,Hà Nội,VN84,Việt Nam
16,Ngọc Hà,1,Ba Đình,1,Hà Nội,VN84,Việt Nam
19,Điện Biên,1,Ba Đình,1,Hà Nội,VN84,Việt Nam
22,Đội Cấn,1,Ba Đình,1,Hà Nội,VN84,Việt Nam
25,Ngọc Khánh,1,Ba Đình,1,Hà Nội,VN84,Việt Nam
28,Kim Mã,1,Ba Đình,1,Hà Nội,VN84,Việt Nam
31,Giảng Võ,1,Ba Đình,1,Hà Nội,VN84,Việt Nam
34,Thành Công,1,Ba Đình,1,Hà Nội,VN84,Việt Nam
37,Phúc Tân,2,Hoàn Kiếm,1,Hà Nội,VN84,Việt Nam
40,Đồng Xuân,2,Hoàn Kiếm,1,Hà Nội,VN84,Việt Nam
43,Hàng Mã,2,Hoàn Kiếm,1,Hà Nội,VN84,Việt Nam
46,Hàng Buồm,2,Hoàn Kiếm,1,Hà Nội,VN84,Việt Nam
49,Hàng Đào,2,Hoàn Kiếm,1,Hà Nội,VN84,Việt Nam
52,Hàng Bồ,2,Hoàn Kiếm,1,Hà Nội,VN84,Việt Nam
55,Cửa Đông,2,Hoàn Kiếm,1,Hà Nội,VN84,Việt Nam
58,Lý Thái Tổ,2,Hoàn Kiếm,1,Hà Nội,VN84,Việt Nam
61,Hàng Bạc,2,Hoàn Kiếm,1,Hà Nội,VN84,Việt Nam
64,Hàng Gai,2,Hoàn Kiếm,1,Hà Nội,VN84,Việt Nam
67,Chương Dương Độ,2,Hoàn Kiếm,1,Hà Nội,VN84,Việt Nam
70,Hàng Trống,2,Hoàn Kiếm,1,Hà Nội,VN84,Việt Nam
73,Cửa Nam,2,Hoàn Kiếm,1,Hà Nội,VN84,Việt Nam
76,Hàng Bông,2,Hoàn Kiếm,1,Hà Nội,VN84,Việt Nam
79,Tràng Tiền,2,Hoàn Kiếm,1,Hà Nội,VN84,Việt Nam
82,Trần Hưng Đạo,2,Hoàn Kiếm,1,Hà Nội,VN84,Việt Nam
85,Phan Chu Trinh,2,Hoàn Kiếm,1,Hà Nội,VN84,Việt Nam
88,Hàng Bài,2,Hoàn Kiếm,1,Hà Nội,VN84,Việt Nam
91,Phú Thượng,3,Tây Hồ,1,Hà Nội,VN84,Việt Nam
94,Nhật Tân,3,Tây Hồ,1,Hà Nội,VN84,Việt Nam
97,Tứ Liên,3,Tây Hồ,1,Hà Nội,VN84,Việt Nam
100,Quảng An,3,Tây Hồ,1,Hà Nội,VN84,Việt Nam
103,Xuân La,3,Tây Hồ,1,Hà Nội,VN84,Việt Nam
106,Yên Phụ,3,Tây Hồ,1,Hà Nội,VN84,Việt Nam
109,Bưởi,3,Tây Hồ,1,Hà Nội,VN84,Việt Nam
112,Thụy Khuê,3,Tây Hồ,1,Hà Nội,VN84,Việt Nam
115,Thượng Thanh,4,Long Biên,1,Hà Nội,VN84,Việt Nam
118,Ngọc Thụy,4,Long Biên,1,Hà Nội,VN84,Việt Nam
121,Giang Biên,4,Long Biên,1,Hà Nội,VN84,Việt Nam
124,Đức Giang,4,Long Biên,1,Hà Nội,VN84,Việt Nam
127,Việt Hưng,4,Long Biên,1,Hà Nội,VN84,Việt Nam
130,Gia Thụy,4,Long Biên,1,Hà Nội,VN84,Việt Nam
133,Ngọc Lâm,4,Long Biên,1,Hà Nội,VN84,Việt Nam
136,Phúc Lợi,4,Long Biên,1,Hà Nội,VN84,Việt Nam
139,Bồ Đề,4,Long Biên,1,Hà Nội,VN84,Việt Nam
142,Sài Đồng,4,Long Biên,1,Hà Nội,VN84,Việt Nam
145,Long Biên,4,Long Biên,1,Hà Nội,VN84,Việt Nam
148,Thạch Bàn,4,Long Biên,1,Hà Nội,VN84,Việt Nam
151,Phúc Đồng,4,Long Biên,1,Hà Nội,VN84,Việt Nam
154,Cự Khối,4,Long Biên,1,Hà Nội,VN84,Việt Nam
157,Nghĩa Đô,5,Cầu Giấy,1,Hà Nội,VN84,Việt Nam
160,Nghĩa Tân,5,Cầu Giấy,1,Hà Nội,VN84,Việt Nam
163,Mai Dịch,5,Cầu Giấy,1,Hà Nội,VN84,Việt Nam
166,Dịch Vọng,5,Cầu Giấy,1,Hà Nội,VN84,Việt Nam
167,Dịch Vọng Hậu,5,Cầu Giấy,1,Hà Nội,VN84,Việt Nam
169,Quan Hoa,5,Cầu Giấy,1,Hà Nội,VN84,Việt Nam
172,Yên Hoà,5,Cầu Giấy,1,Hà Nội,VN84,Việt Nam
175,Trung Hoà,5,Cầu Giấy,1,Hà Nội,VN84,Việt Nam
178,Cát Linh,6,Đống Đa,1,Hà Nội,VN84,Việt Nam
181,Văn Miếu,6,Đống Đa,1,Hà Nội,VN84,Việt Nam
184,Quốc Tử Giám,6,Đống Đa,1,Hà Nội,VN84,Việt Nam
187,Láng Thượng,6,Đống Đa,1,Hà Nội,VN84,Việt Nam
190,Ô Chợ Dừa,6,Đống Đa,1,Hà Nội,VN84,Việt Nam
193,Văn Chương,6,Đống Đa,1,Hà Nội,VN84,Việt Nam
196,Hàng Bột,6,Đống Đa,1,Hà Nội,VN84,Việt Nam
199,Láng Hạ,6,Đống Đa,1,Hà Nội,VN84,Việt Nam
202,Khâm Thiên,6,Đống Đa,1,Hà Nội,VN84,Việt Nam
205,Thổ Quan,6,Đống Đa,1,Hà Nội,VN84,Việt Nam
208,Nam Đồng,6,Đống Đa,1,Hà Nội,VN84,Việt Nam
211,Trung Phụng,6,Đống Đa,1,Hà Nội,VN84,Việt Nam
214,Quang Trung,6,Đống Đa,1,Hà Nội,VN84,Việt Nam
217,Trung Liệt,6,Đống Đa,1,Hà Nội,VN84,Việt Nam
220,Phương Liên,6,Đống Đa,1,Hà Nội,VN84,Việt Nam
223,Thịnh Quang,6,Đống Đa,1,Hà Nội,VN84,Việt Nam
226,Trung Tự,6,Đống Đa,1,Hà Nội,VN84,Việt Nam
229,Kim Liên,6,Đống Đa,1,Hà Nội,VN84,Việt Nam
232,Phương Mai,6,Đống Đa,1,Hà Nội,VN84,Việt Nam
235,Ngã Tư Sở,6,Đống Đa,1,Hà Nội,VN84,Việt Nam
238,Khương Thượng,6,Đống Đa,1,Hà Nội,VN84,Việt Nam
241,Nguyễn Du,7,Hai Bà Trưng,1,Hà Nội,VN84,Việt Nam
244,Bạch Đằng,7,Hai Bà Trưng,1,Hà Nội,VN84,Việt Nam
247,Phạm Đình Hổ,7,Hai Bà Trưng,1,Hà Nội,VN84,Việt Nam
250,Bùi Thị Xuân,7,Hai Bà Trưng,1,Hà Nội,VN84,Việt Nam
253,Ngô Thì Nhậm,7,Hai Bà Trưng,1,Hà Nội,VN84,Việt Nam
256,Lê Đại Hành,7,Hai Bà Trưng,1,Hà Nội,VN84,Việt Nam
259,Đồng Nhân,7,Hai Bà Trưng,1,Hà Nội,VN84,Việt Nam
